player_id,team_id,matches,goals,shirt_number,debut,coach_id,debut_game_id,career_state
1027705,16337,6,0,20,,12897.0,4420227.0,RECENT_NATIONAL_PLAYER
1028081,28031,2,0,1,,104789.0,4165570.0,CURRENT_NATIONAL_PLAYER
1028081,47789,0,0,1,,,,CURRENT_NATIONAL_PLAYER
1028399,11943,2,0,18,,56930.0,4576511.0,RECENT_NATIONAL_PLAYER
1028959,24966,1,0,2,,95885.0,4617173.0,CURRENT_NATIONAL_PLAYER
1028959,26181,2,0,2,,114285.0,4548724.0,RECENT_NATIONAL_PLAYER
1029187,73720,0,0,0,,,,RETIRED_NATIONAL_PLAYER
1029619,9315,2,0,13,,81607.0,4580367.0,RECENT_NATIONAL_PLAYER
1029775,28031,0,0,12,,,,CURRENT_NATIONAL_PLAYER
1029949,22976,0,0,17,,,,RECENT_NATIONAL_PLAYER
1029949,39276,0,0,17,,,,CURRENT_NATIONAL_PLAYER
1030109,15352,0,0,20,,,,RECENT_NATIONAL_PLAYER
1030109,68607,0,0,1,,,,CURRENT_NATIONAL_PLAYER
1030109,68607,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1031044,17622,5,0,5,,5355.0,4174499.0,CURRENT_NATIONAL_PLAYER
1031293,16868,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1031293,17622,12,2,9,,5355.0,4168973.0,RECENT_NATIONAL_PLAYER
1031661,21428,11,0,17,,2961.0,4438864.0,RECENT_NATIONAL_PLAYER
1031774,5710,11,0,19,,51800.0,4466939.0,RECENT_NATIONAL_PLAYER
1031958,17749,16,8,6,,64628.0,4169355.0,CURRENT_NATIONAL_PLAYER
1032094,54396,6,0,20,,106381.0,4170220.0,CURRENT_NATIONAL_PLAYER
1032875,22907,2,0,0,,3643.0,4454031.0,RECENT_NATIONAL_PLAYER
103310,3435,42,0,21,,628.0,2254277.0,RETIRED_NATIONAL_PLAYER
1033919,3674,1,0,0,,2399.0,4619032.0,RECENT_NATIONAL_PLAYER
1034598,3670,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1034598,8595,1,0,0,,,,RECENT_NATIONAL_PLAYER
1035426,21426,2,0,0,,6401.0,4715601.0,CURRENT_NATIONAL_PLAYER
103555,3440,11,0,12,,5221.0,2270533.0,RETIRED_NATIONAL_PLAYER
103565,3670,74,25,10,,17529.0,2285634.0,RETIRED_NATIONAL_PLAYER
103588,3439,0,0,0,,,,RETIRED_NATIONAL_PLAYER
1035924,16418,2,0,0,,48230.0,4095463.0,CURRENT_NATIONAL_PLAYER
1036574,22414,7,0,14,,90850.0,4488846.0,CURRENT_NATIONAL_PLAYER
1036635,22514,1,0,20,,47081.0,4599788.0,CURRENT_NATIONAL_PLAYER
1036995,20793,7,0,6,,44532.0,4352461.0,RECENT_NATIONAL_PLAYER
1036995,20794,2,0,6,,44532.0,4712729.0,CURRENT_NATIONAL_PLAYER
1038348,3856,0,0,0,,,,CURRENT_NATIONAL_PLAYER
1038441,22976,2,0,9,,72569.0,4198388.0,CURRENT_NATIONAL_PLAYER
