club_id,club_slug,club_name,logo_url,country_name,season_id,competition_id,competition_slug,competition_name,club_division,source_url,_last_modified_at
168,zaglebie-lubin,Zaglebie Lubin (168),https://tmssl.akamaized.net//images/wappen/head/168.png?lm=1429042281,Poland,2013,PL1,pko-ekstraklasa,PKO BP Ekstraklasa,PKO BP Ekstraklasa,https://www.transfermarkt.com/zaglebie-lubin/startseite/verein/168/saison_id/2013,2025-09-13 10:56:23
173,odense-boldklub,Odense Boldklub (173),https://tmssl.akamaized.net//images/wappen/head/173.png?lm=1518117592,Denmark,2025,DK1,superligaen,Superliga,Superliga,https://www.transfermarkt.com/odense-boldklub/startseite/verein/173/saison_id/2025,2025-09-13 11:25:10
169,panionios-athen,Panionios Athens (169),https://tmssl.akamaized.net//images/wappen/head/169.png?lm=1401606183,Greece,2020,GRS2,super-league-2,Super League 2,Super League 2,https://www.transfermarkt.com/panionios-athen/startseite/verein/169/saison_id/2020,2025-09-13 11:23:30
170,sk-rapid-wien,Rapid Vienna (170),https://tmssl.akamaized.net//images/wappen/head/170.png?lm=1653663056,Austria,2014,A1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/sk-rapid-wien/startseite/verein/170/saison_id/2014,2025-09-13 11:01:51
17664,frosinone-calcio-u19,Frosinone Primavera (17664),https://tmssl.akamaized.net//images/wappen/head/17664.png?lm=1438547543,Italy,2009,IJ1,primavera-1,Primavera 1,Primavera 1,https://www.transfermarkt.com/frosinone-calcio-u19/startseite/verein/17664/saison_id/2009,2025-09-13 09:17:08
180,fc-southampton,Southampton FC (180),https://tmssl.akamaized.net//images/wappen/head/180.png?lm=1444560086,England,2008,GB2,championship,Championship,Championship,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2008,2025-09-13 09:31:45
1804,deportivo-toluca,Deportivo Toluca (1804),https://tmssl.akamaized.net//images/wappen/head/1804.png?lm=1522083002,Mexico,2022,MEXA,liga-mx-apertura,Liga MX Apertura,Liga MX Apertura,https://www.transfermarkt.com/deportivo-toluca/startseite/verein/1804/saison_id/2022,2025-09-13 11:31:01
1829,instituto-ac-cordoba,Instituto ACC (1829),https://tmssl.akamaized.net//images/wappen/head/1829.png?lm=1672243566,Argentina,2024,ARGC,torneo-final,Torneo Clausura,Torneo Clausura,https://www.transfermarkt.com/instituto-ac-cordoba/startseite/verein/1829/saison_id/2024,2025-09-13 11:34:52
18633,fc-villefranche-beaujolais,FC Villefranche-Beaujolais (18633),https://tmssl.akamaized.net//images/wappen/head/18633.png?lm=1546256358,France,2023,FR3,championnat-national,Championnat National,Championnat National,https://www.transfermarkt.com/fc-villefranche-beaujolais/startseite/verein/18633/saison_id/2023,2025-09-13 09:31:36
18,borussia-monchengladbach,Borussia Mönchengladbach (18),https://tmssl.akamaized.net//images/wappen/head/18.png?lm=1656585796,Germany,2018,L1,bundesliga,Bundesliga,Bundesliga,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2018,2025-09-13 09:41:53
